date,temperature,month,seasons,rain,sunlight,wind,mood,walk,temperature_category,wind_category,mood_category
2020-02-09,-5,Feb,Winter,0,1,23,-13,1,very cold,4 moderate breeze,1 bad
2020-02-10,1,Feb,Winter,0,1,23,-25,0,cold,4 moderate breeze,0 very bad
2020-02-11,1,Feb,Winter,0,1,12,11,1,cold,3 gentle breeze,3 good
2020-02-12,4,Feb,Winter,0,1,33,-36,0,cold,5 fresh breeze,0 very bad
2020-02-13,-2,Feb,Winter,0,1,23,-16,1,very cold,4 moderate breeze,1 bad
2020-02-14,-2,Feb,Winter,1,0,45,-43,0,very cold,6 strong breeze,0 very bad
2020-02-15,2,Feb,Winter,1,0,52,-37,0,cold,6 strong breeze,0 very bad
2020-02-16,3,Feb,Winter,0,1,12,29,1,cold,3 gentle breeze,3 good
2020-02-17,1,Feb,Winter,0,1,20,-26,0,cold,3 gentle breeze,0 very bad
2020-02-18,3,Feb,Winter,0,1,18,18,1,cold,3 gentle breeze,3 good
2020-02-19,-2,Feb,Winter,0,1,31,-32,1,very cold,5 fresh breeze,0 very bad
2020-02-20,-5,Feb,Winter,0,1,32,-27,1,very cold,5 fresh breeze,0 very bad
2020-02-21,6,Feb,Winter,0,1,22,-25,0,cold,4 moderate breeze,0 very bad
2020-02-22,-2,Feb,Winter,0,1,25,-16,0,very cold,4 moderate breeze,1 bad
2020-02-23,-5,Feb,Winter,0,1,20,-26,0,very cold,3 gentle breeze,0 very bad
2020-02-24,4,Feb,Winter,0,1,30,-26,1,cold,5 fresh breeze,0 very bad
2020-02-25,0,Feb,Winter,0,1,30,-20,1,very cold,5 fresh breeze,1 bad
2020-02-26,-3,Feb,Winter,0,1,29,-29,0,very cold,5 fresh breeze,0 very bad
2020-02-27,-4,Feb,Winter,1,0,36,-29,1,very cold,5 fresh breeze,0 very bad
2020-02-28,0,Feb,Winter,0,1,26,-18,1,very cold,4 moderate breeze,1 bad
2020-02-29,2,Feb,Winter,0,1,12,24,1,cold,3 gentle breeze,3 good
2020-03-01,8,Mar,Spring,0,1,28,-32,0,cold,4 moderate breeze,0 very bad
2020-03-02,5,Mar,Spring,0,1,26,-14,0,cold,4 moderate breeze,1 bad
2020-03-03,7,Mar,Spring,0,1,22,-30,1,cold,4 moderate breeze,0 very bad
2020-03-04,4,Mar,Spring,0,1,29,-25,0,cold,5 fresh breeze,0 very bad
2020-03-05,2,Mar,Spring,0,1,24,-18,0,cold,4 moderate breeze,1 bad
2020-03-06,7,Mar,Spring,0,1,15,8,1,cold,3 gentle breeze,2 okish
2020-03-07,7,Mar,Spring,0,1,24,-14,1,cold,4 moderate breeze,1 bad
2020-03-08,3,Mar,Spring,0,1,19,27,1,cold,3 gentle breeze,3 good
2020-03-09,6,Mar,Spring,0,1,21,-24,0,cold,4 moderate breeze,1 bad
2020-03-10,8,Mar,Spring,0,1,20,-26,0,cold,3 gentle breeze,0 very bad
2020-03-11,4,Mar,Spring,0,1,26,-15,0,cold,4 moderate breeze,1 bad
2020-03-12,2,Mar,Spring,0,1,30,-32,0,cold,5 fresh breeze,0 very bad
2020-03-13,4,Mar,Spring,0,1,19,7,1,cold,3 gentle breeze,2 okish
2020-03-14,2,Mar,Spring,0,1,25,-27,1,cold,4 moderate breeze,0 very bad
2020-03-15,3,Mar,Spring,0,1,31,-26,0,cold,5 fresh breeze,0 very bad
2020-03-16,3,Mar,Spring,0,1,18,9,1,cold,3 gentle breeze,2 okish
2020-03-17,8,Mar,Spring,0,1,31,-38,0,cold,5 fresh breeze,0 very bad
2020-03-18,5,Mar,Spring,0,1,19,14,1,cold,3 gentle breeze,3 good
2020-03-19,9,Mar,Spring,0,1,15,14,1,cold,3 gentle breeze,3 good
2020-03-20,2,Mar,Spring,0,1,17,7,1,cold,3 gentle breeze,2 okish
2020-03-21,8,Mar,Spring,0,1,31,-22,1,cold,5 fresh breeze,1 bad
2020-03-22,9,Mar,Spring,0,1,29,-31,1,cold,5 fresh breeze,0 very bad
2020-03-23,8,Mar,Spring,0,1,13,22,1,cold,3 gentle breeze,3 good
2020-03-24,5,Mar,Spring,0,1,15,16,1,cold,3 gentle breeze,3 good
2020-03-25,5,Mar,Spring,0,1,28,-24,0,cold,4 moderate breeze,1 bad
2020-03-26,2,Mar,Spring,0,1,32,-22,1,cold,5 fresh breeze,1 bad
2020-03-27,3,Mar,Spring,0,1,24,-22,1,cold,4 moderate breeze,1 bad
2020-03-28,3,Mar,Spring,0,1,24,-19,1,cold,4 moderate breeze,1 bad
2020-03-29,6,Mar,Spring,0,1,31,-18,1,cold,5 fresh breeze,1 bad
2020-03-30,10,Mar,Spring,0,1,20,-33,1,cold,3 gentle breeze,0 very bad
2020-03-31,6,Mar,Spring,0,1,21,-26,0,cold,4 moderate breeze,0 very bad
2020-04-01,4,Apr,Spring,0,1,25,-20,1,cold,4 moderate breeze,1 bad
2020-04-02,12,Apr,Spring,0,1,4,16,1,warm,1 light air,3 good
2020-04-03,5,Apr,Spring,0,1,24,-31,0,cold,4 moderate breeze,0 very bad
2020-04-04,5,Apr,Spring,0,1,24,-25,1,cold,4 moderate breeze,0 very bad
2020-04-05,14,Apr,Spring,0,1,4,11,1,warm,1 light air,3 good
2020-04-06,8,Apr,Spring,0,1,20,-30,1,cold,3 gentle breeze,0 very bad
2020-04-07,4,Apr,Spring,0,1,25,-20,1,cold,4 moderate breeze,1 bad
2020-04-08,5,Apr,Spring,1,0,43,-25,0,cold,6 strong breeze,0 very bad
2020-04-09,5,Apr,Spring,0,1,10,15,1,cold,2 light breeze,3 good
2020-04-10,6,Apr,Spring,0,1,26,-27,1,cold,4 moderate breeze,0 very bad
2020-04-11,12,Apr,Spring,0,1,6,20,1,warm,2 light breeze,3 good
2020-04-12,7,Apr,Spring,0,1,29,-20,1,cold,5 fresh breeze,1 bad
2020-04-13,4,Apr,Spring,0,1,18,3,1,cold,3 gentle breeze,2 okish
2020-04-14,7,Apr,Spring,0,1,26,-27,1,cold,4 moderate breeze,0 very bad
2020-04-15,10,Apr,Spring,0,1,33,-10,0,cold,5 fresh breeze,1 bad
2020-04-16,14,Apr,Spring,0,1,5,18,1,warm,1 light air,3 good
2020-04-17,10,Apr,Spring,0,1,27,-30,0,cold,4 moderate breeze,0 very bad
2020-04-18,7,Apr,Spring,0,1,23,-36,0,cold,4 moderate breeze,0 very bad
2020-04-19,10,Apr,Spring,0,1,22,-32,0,cold,4 moderate breeze,0 very bad
2020-04-20,13,Apr,Spring,0,1,3,16,1,warm,1 light air,3 good
2020-04-21,14,Apr,Spring,0,1,3,19,1,warm,1 light air,3 good
2020-04-22,8,Apr,Spring,0,1,20,-32,0,cold,3 gentle breeze,0 very bad
2020-04-23,12,Apr,Spring,0,1,5,21,1,warm,1 light air,3 good
2020-04-24,5,Apr,Spring,0,1,21,-30,0,cold,4 moderate breeze,0 very bad
2020-04-25,12,Apr,Spring,0,1,4,21,1,warm,1 light air,3 good
2020-04-26,6,Apr,Spring,0,1,21,-26,0,cold,4 moderate breeze,0 very bad
2020-04-27,10,Apr,Spring,0,1,15,14,1,cold,3 gentle breeze,3 good
2020-04-28,8,Apr,Spring,1,0,36,-55,0,cold,5 fresh breeze,0 very bad
2020-04-29,7,Apr,Spring,0,1,25,-22,0,cold,4 moderate breeze,1 bad
2020-04-30,14,Apr,Spring,0,1,5,21,1,warm,1 light air,3 good
2020-05-01,11,May,Spring,0,1,10,13,1,warm,2 light breeze,3 good
2020-05-02,11,May,Spring,0,1,4,7,1,warm,1 light air,2 okish
2020-05-03,9,May,Spring,0,1,19,3,1,cold,3 gentle breeze,2 okish
2020-05-04,10,May,Spring,0,1,32,-39,0,cold,5 fresh breeze,0 very bad
2020-05-05,14,May,Spring,0,1,5,4,1,warm,1 light air,2 okish
2020-05-06,9,May,Spring,0,1,25,-30,0,cold,4 moderate breeze,0 very bad
2020-05-07,11,May,Spring,1,0,24,-41,0,warm,4 moderate breeze,0 very bad
2020-05-08,16,May,Spring,0,1,1,45,1,warm,0 calm,4 very good
2020-05-09,11,May,Spring,0,1,5,24,1,warm,1 light air,3 good
2020-05-10,12,May,Spring,0,1,4,8,1,warm,1 light air,2 okish
2020-05-11,8,May,Spring,0,1,32,-19,1,cold,5 fresh breeze,1 bad
2020-05-12,15,May,Spring,0,1,7,47,1,warm,2 light breeze,4 very good
2020-05-13,16,May,Spring,0,1,5,39,1,warm,1 light air,4 very good
2020-05-14,16,May,Spring,0,1,7,39,1,warm,2 light breeze,4 very good
2020-05-15,9,May,Spring,0,1,20,-23,1,cold,3 gentle breeze,1 bad
2020-05-16,11,May,Spring,0,1,5,15,1,warm,1 light air,3 good
2020-05-17,11,May,Spring,0,1,4,22,1,warm,1 light air,3 good
2020-05-18,11,May,Spring,0,1,4,22,1,warm,1 light air,3 good
2020-05-19,13,May,Spring,0,1,3,9,1,warm,1 light air,2 okish
2020-05-20,14,May,Spring,0,1,4,18,1,warm,1 light air,3 good
2020-05-21,17,May,Spring,0,1,5,44,1,warm,1 light air,4 very good
2020-05-22,13,May,Spring,0,1,7,13,1,warm,2 light breeze,3 good
2020-05-23,10,May,Spring,0,1,19,6,1,cold,3 gentle breeze,2 okish
2020-05-24,8,May,Spring,0,1,13,30,1,cold,3 gentle breeze,3 good
2020-05-25,11,May,Spring,0,1,8,23,1,warm,2 light breeze,3 good
2020-05-26,12,May,Spring,0,1,4,22,1,warm,1 light air,3 good
2020-05-27,16,May,Spring,0,1,7,26,1,warm,2 light breeze,3 good
2020-05-28,11,May,Spring,0,1,9,17,1,warm,2 light breeze,3 good
2020-05-29,8,May,Spring,0,1,20,-18,1,cold,3 gentle breeze,1 bad
2020-05-30,10,May,Spring,0,1,18,17,1,cold,3 gentle breeze,3 good
2020-05-31,13,May,Spring,1,0,33,-43,0,warm,5 fresh breeze,0 very bad
2020-06-01,18,Jun,Summer,0,1,8,38,1,warm,2 light breeze,4 very good
2020-06-02,22,Jun,Summer,0,1,1,48,1,hot,0 calm,4 very good
2020-06-03,21,Jun,Summer,0,1,3,36,1,hot,1 light air,4 very good
2020-06-04,20,Jun,Summer,0,1,4,32,1,warm,1 light air,4 very good
2020-06-05,21,Jun,Summer,0,1,8,31,1,hot,2 light breeze,4 very good
2020-06-06,20,Jun,Summer,0,1,1,44,1,warm,0 calm,4 very good
2020-06-07,17,Jun,Summer,0,1,9,39,1,warm,2 light breeze,4 very good
2020-06-08,13,Jun,Summer,0,1,6,19,1,warm,2 light breeze,3 good
2020-06-09,17,Jun,Summer,1,0,32,-16,0,warm,5 fresh breeze,1 bad
2020-06-10,24,Jun,Summer,0,1,3,49,1,hot,1 light air,4 very good
2020-06-11,15,Jun,Summer,0,1,7,24,1,warm,2 light breeze,3 good
2020-06-12,15,Jun,Summer,0,1,3,37,1,warm,1 light air,4 very good
2020-06-13,23,Jun,Summer,0,1,2,27,1,hot,1 light air,3 good
2020-06-14,22,Jun,Summer,0,1,7,42,1,hot,2 light breeze,4 very good
2020-06-15,23,Jun,Summer,0,1,9,43,1,hot,2 light breeze,4 very good
2020-06-16,19,Jun,Summer,0,1,8,48,1,warm,2 light breeze,4 very good
2020-06-17,13,Jun,Summer,1,0,30,-32,1,warm,5 fresh breeze,0 very bad
2020-06-18,24,Jun,Summer,0,1,2,32,1,hot,1 light air,4 very good
2020-06-19,22,Jun,Summer,0,1,4,22,1,hot,1 light air,3 good
2020-06-20,11,Jun,Summer,0,1,7,10,1,warm,2 light breeze,2 okish
2020-06-21,16,Jun,Summer,0,1,8,25,1,warm,2 light breeze,3 good
2020-06-22,16,Jun,Summer,1,0,33,-9,1,warm,5 fresh breeze,1 bad
2020-06-23,13,Jun,Summer,0,1,7,8,1,warm,2 light breeze,2 okish
2020-06-24,20,Jun,Summer,0,1,6,34,1,warm,2 light breeze,4 very good
2020-06-25,14,Jun,Summer,0,1,5,26,1,warm,1 light air,3 good
2020-06-26,21,Jun,Summer,0,1,8,39,1,hot,2 light breeze,4 very good
2020-06-27,17,Jun,Summer,0,1,9,31,1,warm,2 light breeze,4 very good
2020-06-28,14,Jun,Summer,0,1,5,27,1,warm,1 light air,3 good
2020-06-29,24,Jun,Summer,0,1,8,59,1,hot,2 light breeze,4 very good
2020-06-30,21,Jun,Summer,0,1,4,32,1,hot,1 light air,4 very good
2020-07-01,25,Jul,Summer,0,1,2,30,1,hot,1 light air,3 good
2020-07-02,16,Jul,Summer,0,1,4,25,1,warm,1 light air,3 good
2020-07-03,18,Jul,Summer,0,1,2,44,1,warm,1 light air,4 very good
2020-07-04,23,Jul,Summer,0,1,6,31,1,hot,2 light breeze,4 very good
2020-07-05,16,Jul,Summer,0,1,4,55,1,warm,1 light air,4 very good
2020-07-06,13,Jul,Summer,0,1,7,14,1,warm,2 light breeze,3 good
2020-07-07,23,Jul,Summer,1,0,27,-10,1,hot,4 moderate breeze,1 bad
2020-07-08,25,Jul,Summer,1,0,20,-17,1,hot,3 gentle breeze,1 bad
2020-07-09,34,Jul,Summer,0,1,5,45,1,hot,1 light air,4 very good
2020-07-10,29,Jul,Summer,0,1,5,25,1,hot,1 light air,3 good
2020-07-11,22,Jul,Summer,0,1,10,41,1,hot,2 light breeze,4 very good
2020-07-12,15,Jul,Summer,0,1,9,20,1,warm,2 light breeze,3 good
2020-07-13,23,Jul,Summer,0,1,3,43,1,hot,1 light air,4 very good
2020-07-14,13,Jul,Summer,0,1,6,4,1,warm,2 light breeze,2 okish
2020-07-15,33,Jul,Summer,0,1,7,45,1,hot,2 light breeze,4 very good
2020-07-16,34,Jul,Summer,0,1,4,52,1,hot,1 light air,4 very good
2020-07-17,30,Jul,Summer,0,1,0,31,1,hot,0 calm,4 very good
2020-07-18,15,Jul,Summer,0,1,7,43,1,warm,2 light breeze,4 very good
2020-07-19,21,Jul,Summer,0,1,8,37,1,hot,2 light breeze,4 very good
2020-07-20,18,Jul,Summer,1,0,32,-27,0,warm,5 fresh breeze,0 very bad
2020-07-21,28,Jul,Summer,0,1,8,52,1,hot,2 light breeze,4 very good
2020-07-22,27,Jul,Summer,0,1,6,44,1,hot,2 light breeze,4 very good
2020-07-23,15,Jul,Summer,0,1,1,31,1,warm,0 calm,4 very good
2020-07-24,26,Jul,Summer,0,1,3,53,1,hot,1 light air,4 very good
2020-07-25,24,Jul,Summer,0,1,4,34,1,hot,1 light air,4 very good
2020-07-26,29,Jul,Summer,0,1,3,43,1,hot,1 light air,4 very good
2020-07-27,13,Jul,Summer,0,1,9,13,1,warm,2 light breeze,3 good
2020-07-28,13,Jul,Summer,0,1,8,24,1,warm,2 light breeze,3 good
2020-07-29,27,Jul,Summer,0,1,6,39,1,hot,2 light breeze,4 very good
2020-07-30,30,Jul,Summer,0,1,4,23,1,hot,1 light air,3 good
2020-07-31,16,Jul,Summer,0,1,9,34,1,warm,2 light breeze,4 very good
2020-08-01,28,Aug,Summer,0,1,4,34,1,hot,1 light air,4 very good
2020-08-02,24,Aug,Summer,0,1,5,39,1,hot,1 light air,4 very good
2020-08-03,15,Aug,Summer,0,1,6,30,1,warm,2 light breeze,3 good
2020-08-04,18,Aug,Summer,0,1,9,35,1,warm,2 light breeze,4 very good
2020-08-05,22,Aug,Summer,0,1,5,25,1,hot,1 light air,3 good
2020-08-06,27,Aug,Summer,0,1,8,39,1,hot,2 light breeze,4 very good
2020-08-07,20,Aug,Summer,0,1,3,22,1,warm,1 light air,3 good
2020-08-08,20,Aug,Summer,0,1,6,40,1,warm,2 light breeze,4 very good
2020-08-09,27,Aug,Summer,0,1,9,37,1,hot,2 light breeze,4 very good
2020-08-10,26,Aug,Summer,0,1,3,41,1,hot,1 light air,4 very good
2020-08-11,25,Aug,Summer,0,1,5,43,1,hot,1 light air,4 very good
2020-08-12,26,Aug,Summer,1,0,19,26,1,hot,3 gentle breeze,3 good
2020-08-13,23,Aug,Summer,0,1,6,34,1,hot,2 light breeze,4 very good
2020-08-14,14,Aug,Summer,0,1,6,28,1,warm,2 light breeze,3 good
2020-08-15,25,Aug,Summer,0,1,8,34,1,hot,2 light breeze,4 very good
2020-08-16,23,Aug,Summer,0,1,7,28,1,hot,2 light breeze,3 good
2020-08-17,28,Aug,Summer,0,1,4,37,1,hot,1 light air,4 very good
2020-08-18,13,Aug,Summer,0,1,9,10,1,warm,2 light breeze,2 okish
2020-08-19,17,Aug,Summer,0,1,5,34,1,warm,1 light air,4 very good
2020-08-20,26,Aug,Summer,0,1,4,39,1,hot,1 light air,4 very good
2020-08-21,14,Aug,Summer,0,1,10,17,1,warm,2 light breeze,3 good
2020-08-22,26,Aug,Summer,0,1,9,46,1,hot,2 light breeze,4 very good
2020-08-23,19,Aug,Summer,0,1,2,47,1,warm,1 light air,4 very good
2020-08-24,21,Aug,Summer,0,1,7,41,1,hot,2 light breeze,4 very good
2020-08-25,22,Aug,Summer,0,1,5,21,1,hot,1 light air,3 good
2020-08-26,17,Aug,Summer,0,1,5,47,1,warm,1 light air,4 very good
2020-08-27,24,Aug,Summer,0,1,3,31,1,hot,1 light air,4 very good
2020-08-28,15,Aug,Summer,0,1,9,40,1,warm,2 light breeze,4 very good
2020-08-29,24,Aug,Summer,0,1,3,33,1,hot,1 light air,4 very good
2020-08-30,19,Aug,Summer,0,1,6,27,1,warm,2 light breeze,3 good
2020-08-31,23,Aug,Summer,0,1,7,44,1,hot,2 light breeze,4 very good
2020-09-01,19,Sep,Autumn,0,1,8,57,1,warm,2 light breeze,4 very good
2020-09-02,11,Sep,Autumn,0,1,7,11,1,warm,2 light breeze,3 good
2020-09-03,19,Sep,Autumn,0,1,10,44,1,warm,2 light breeze,4 very good
2020-09-04,10,Sep,Autumn,0,1,34,-34,1,cold,5 fresh breeze,0 very bad
2020-09-05,17,Sep,Autumn,0,1,5,37,1,warm,1 light air,4 very good
2020-09-06,14,Sep,Autumn,0,1,6,11,1,warm,2 light breeze,3 good
2020-09-07,19,Sep,Autumn,0,1,4,35,1,warm,1 light air,4 very good
2020-09-08,17,Sep,Autumn,0,1,5,39,1,warm,1 light air,4 very good
2020-09-09,15,Sep,Autumn,0,1,6,37,1,warm,2 light breeze,4 very good
2020-09-10,14,Sep,Autumn,1,0,15,16,1,warm,3 gentle breeze,3 good
2020-09-11,18,Sep,Autumn,0,1,9,48,1,warm,2 light breeze,4 very good
2020-09-12,16,Sep,Autumn,0,1,5,29,1,warm,1 light air,3 good
2020-09-13,12,Sep,Autumn,0,1,2,14,1,warm,1 light air,3 good
2020-09-14,18,Sep,Autumn,0,1,7,34,1,warm,2 light breeze,4 very good
2020-09-15,16,Sep,Autumn,0,1,4,55,1,warm,1 light air,4 very good
2020-09-16,11,Sep,Autumn,0,1,4,14,1,warm,1 light air,3 good
2020-09-17,14,Sep,Autumn,0,1,8,2,1,warm,2 light breeze,2 okish
2020-09-18,15,Sep,Autumn,0,1,3,45,1,warm,1 light air,4 very good
2020-09-19,18,Sep,Autumn,0,1,2,41,1,warm,1 light air,4 very good
2020-09-20,15,Sep,Autumn,0,1,6,30,1,warm,2 light breeze,3 good
2020-09-21,15,Sep,Autumn,0,1,8,41,1,warm,2 light breeze,4 very good
2020-09-22,10,Sep,Autumn,0,1,23,-35,1,cold,4 moderate breeze,0 very bad
2020-09-23,19,Sep,Autumn,0,1,8,35,1,warm,2 light breeze,4 very good
2020-09-24,12,Sep,Autumn,0,1,8,26,1,warm,2 light breeze,3 good
2020-09-25,19,Sep,Autumn,0,1,3,50,1,warm,1 light air,4 very good
2020-09-26,17,Sep,Autumn,0,1,3,53,1,warm,1 light air,4 very good
2020-09-27,14,Sep,Autumn,0,1,4,23,1,warm,1 light air,3 good
2020-09-28,10,Sep,Autumn,0,1,16,22,1,cold,3 gentle breeze,3 good
2020-09-29,15,Sep,Autumn,0,1,8,26,1,warm,2 light breeze,3 good
2020-09-30,16,Sep,Autumn,0,1,3,53,1,warm,1 light air,4 very good
2020-10-01,10,Oct,Autumn,0,1,22,-16,0,cold,4 moderate breeze,1 bad
2020-10-02,13,Oct,Autumn,0,1,8,8,1,warm,2 light breeze,2 okish
2020-10-03,8,Oct,Autumn,0,1,23,-23,0,cold,4 moderate breeze,1 bad
2020-10-04,11,Oct,Autumn,0,1,5,6,1,warm,1 light air,2 okish
2020-10-05,13,Oct,Autumn,0,1,4,21,1,warm,1 light air,3 good
2020-10-06,13,Oct,Autumn,0,1,5,19,1,warm,1 light air,3 good
2020-10-07,13,Oct,Autumn,0,1,5,22,1,warm,1 light air,3 good
2020-10-08,10,Oct,Autumn,0,1,15,22,1,cold,3 gentle breeze,3 good
2020-10-09,11,Oct,Autumn,0,1,6,21,1,warm,2 light breeze,3 good
2020-10-10,14,Oct,Autumn,0,1,4,8,1,warm,1 light air,2 okish
2020-10-11,11,Oct,Autumn,0,1,2,20,1,warm,1 light air,3 good
2020-10-12,13,Oct,Autumn,0,1,3,11,1,warm,1 light air,3 good
2020-10-13,8,Oct,Autumn,0,1,16,17,1,cold,3 gentle breeze,3 good
2020-10-14,13,Oct,Autumn,0,1,6,9,1,warm,2 light breeze,2 okish
2020-10-15,10,Oct,Autumn,0,1,25,-19,0,cold,4 moderate breeze,1 bad
2020-10-16,14,Oct,Autumn,0,1,4,11,1,warm,1 light air,3 good
2020-10-17,14,Oct,Autumn,0,1,0,28,1,warm,0 calm,3 good
2020-10-18,13,Oct,Autumn,0,1,8,18,1,warm,2 light breeze,3 good
2020-10-19,13,Oct,Autumn,0,1,4,13,1,warm,1 light air,3 good
2020-10-20,13,Oct,Autumn,0,1,6,10,1,warm,2 light breeze,2 okish
2020-10-21,14,Oct,Autumn,1,0,30,-33,1,warm,5 fresh breeze,0 very bad
2020-10-22,14,Oct,Autumn,0,1,5,20,1,warm,1 light air,3 good
2020-10-23,14,Oct,Autumn,0,1,4,6,1,warm,1 light air,2 okish
2020-10-24,9,Oct,Autumn,0,1,15,20,1,cold,3 gentle breeze,3 good
2020-10-25,8,Oct,Autumn,0,1,28,-17,0,cold,4 moderate breeze,1 bad
2020-10-26,7,Oct,Autumn,0,1,15,9,1,cold,3 gentle breeze,2 okish
2020-10-27,12,Oct,Autumn,0,1,3,19,1,warm,1 light air,3 good
2020-10-28,8,Oct,Autumn,0,1,25,-16,0,cold,4 moderate breeze,1 bad
2020-10-29,12,Oct,Autumn,0,1,5,13,1,warm,1 light air,3 good
2020-10-30,11,Oct,Autumn,0,1,7,10,1,warm,2 light breeze,2 okish
2020-10-31,11,Oct,Autumn,0,1,2,19,1,warm,1 light air,3 good
2020-11-01,6,Nov,Autumn,1,0,51,-57,0,cold,6 strong breeze,0 very bad
2020-11-02,9,Nov,Autumn,1,0,40,-37,0,cold,6 strong breeze,0 very bad
2020-11-03,6,Nov,Autumn,0,1,13,17,1,cold,3 gentle breeze,3 good
2020-11-04,6,Nov,Autumn,0,1,13,14,1,cold,3 gentle breeze,3 good
2020-11-05,9,Nov,Autumn,0,1,17,11,1,cold,3 gentle breeze,3 good
2020-11-06,9,Nov,Autumn,0,1,19,10,1,cold,3 gentle breeze,2 okish
2020-11-07,4,Nov,Autumn,0,1,25,-35,1,cold,4 moderate breeze,0 very bad
2020-11-08,8,Nov,Autumn,1,0,39,-53,0,cold,6 strong breeze,0 very bad
2020-11-09,5,Nov,Autumn,0,1,23,-33,0,cold,4 moderate breeze,0 very bad
2020-11-10,9,Nov,Autumn,0,1,27,-34,1,cold,4 moderate breeze,0 very bad
2020-11-11,7,Nov,Autumn,0,1,17,27,1,cold,3 gentle breeze,3 good
2020-11-12,3,Nov,Autumn,0,1,15,13,1,cold,3 gentle breeze,3 good
2020-11-13,6,Nov,Autumn,0,1,21,-32,1,cold,4 moderate breeze,0 very bad
2020-11-14,6,Nov,Autumn,0,1,26,-21,1,cold,4 moderate breeze,1 bad
2020-11-15,8,Nov,Autumn,1,0,49,-28,0,cold,6 strong breeze,0 very bad
2020-11-16,4,Nov,Autumn,0,1,31,-29,0,cold,5 fresh breeze,0 very bad
2020-11-17,8,Nov,Autumn,0,1,25,-29,1,cold,4 moderate breeze,0 very bad
2020-11-18,5,Nov,Autumn,0,1,25,-23,1,cold,4 moderate breeze,1 bad
2020-11-19,7,Nov,Autumn,0,1,11,9,1,cold,2 light breeze,2 okish
