date,temperature,rain,sunlight,wind,mood,walk
2024-03-07,9,0,1,18,-11,1
2024-03-08,2,1,0,30,-51,0
2024-03-09,4,0,1,18,-19,0
2024-03-10,6,0,1,16,-15,1
2024-03-11,4,0,1,17,-14,1
2024-03-12,8,0,1,14,-8,1
2024-03-13,9,0,1,19,-13,0
2024-03-14,9,1,0,35,-46,0
2024-03-15,4,0,1,18,-19,0
2024-03-16,8,0,1,18,-7,1
2024-03-17,2,0,1,13,-13,1
2024-03-18,4,0,1,14,-23,1
2024-03-19,8,0,1,15,-17,0
2024-03-20,8,0,1,12,-14,1
2024-03-21,2,0,1,18,-10,0
2024-03-22,2,1,0,36,-38,1
2024-03-23,6,0,1,14,-4,1
2024-03-24,10,0,1,16,-22,1
2024-03-25,4,1,0,35,-53,0
2024-03-26,7,0,1,16,-9,1
2024-03-27,7,0,1,12,-4,1
2024-03-28,4,0,1,19,-24,0
2024-03-29,7,1,0,32,-34,1
2024-03-30,4,0,1,20,-26,1
2024-03-31,4,0,1,10,-18,0
2024-04-01,10,0,1,15,-10,0
2024-04-02,11,0,1,2,52,1
2024-04-03,5,0,1,20,-13,1
2024-04-04,7,1,0,31,-48,0
2024-04-05,6,0,1,20,-20,0
2024-04-06,14,0,1,5,36,1
2024-04-07,4,1,0,32,-42,0
2024-04-08,6,0,1,13,-16,1
2024-04-09,6,1,0,40,-43,0
2024-04-10,5,0,1,11,-18,0
2024-04-11,14,1,0,22,-7,0
2024-04-12,14,0,1,3,42,1
2024-04-13,10,0,1,14,-22,0
2024-04-14,4,0,1,15,-17,1
2024-04-15,5,0,1,14,-12,1
2024-04-16,10,0,1,12,-4,1
2024-04-17,13,1,0,25,-15,0
2024-04-18,5,0,1,19,-20,0
2024-04-19,7,0,1,15,-22,0
2024-04-20,8,0,1,12,-12,0
2024-04-21,9,0,1,11,-21,0
2024-04-22,11,0,1,1,50,1
2024-04-23,13,0,1,7,43,1
2024-04-24,14,0,1,6,41,1
2024-04-25,4,0,1,17,-15,1
2024-04-26,11,1,0,28,-21,0
2024-04-27,13,1,0,21,-16,1
2024-04-28,4,0,1,20,-20,0
2024-04-29,11,0,1,3,49,1
2024-04-30,6,1,0,36,-39,0
2024-05-01,11,0,1,6,38,1
2024-05-02,14,1,0,22,-9,0
2024-05-03,12,0,1,7,43,1
2024-05-04,13,1,0,17,-15,1
2024-05-05,15,0,1,6,35,1
2024-05-06,17,0,1,0,46,1
2024-05-07,17,0,1,6,42,1
2024-05-08,16,0,1,6,40,1
2024-05-09,9,1,0,34,-45,0
2024-05-10,15,0,1,3,44,1
2024-05-11,15,0,1,4,42,1
2024-05-12,17,1,0,21,-11,0
2024-05-13,8,0,1,15,-11,0
2024-05-14,15,1,0,21,-26,0
2024-05-15,14,0,1,5,39,1
2024-05-16,16,0,1,8,36,1
2024-05-17,17,0,1,5,44,1
2024-05-18,11,0,1,5,47,1
2024-05-19,13,0,1,2,40,1
2024-05-20,8,1,0,31,-54,0
2024-05-21,12,0,1,7,43,1
2024-05-22,11,0,1,7,36,1
2024-05-23,9,1,0,37,-42,0
2024-05-24,17,0,1,6,39,1
2024-05-25,9,0,1,16,-11,1
2024-05-26,8,0,1,15,-15,0
2024-05-27,17,0,1,8,52,1
2024-05-28,10,1,0,28,-45,0
2024-05-29,14,0,1,6,39,1
2024-05-30,8,0,1,14,-10,1
2024-05-31,10,1,0,40,-45,0
2024-06-01,11,0,1,7,50,1
2024-06-02,15,0,1,9,58,1
2024-06-03,14,1,0,19,-21,0
2024-06-04,13,0,1,5,43,1
2024-06-05,11,1,0,25,-14,1
2024-06-06,15,0,1,6,45,1
2024-06-07,21,0,1,1,22,1
2024-06-08,15,0,1,7,50,1
2024-06-09,17,0,1,10,21,1
2024-06-10,18,1,0,22,-17,0
2024-06-11,20,0,1,5,40,1
2024-06-12,15,1,0,24,-14,0
2024-06-13,12,0,1,6,46,1
2024-06-14,14,0,1,4,47,1
2024-06-15,17,1,0,18,-19,0
2024-06-16,12,1,0,22,-8,1
2024-06-17,20,0,1,5,50,1
2024-06-18,19,1,0,17,-18,0
2024-06-19,13,0,1,8,42,1
2024-06-20,15,0,1,4,38,1
2024-06-21,20,0,1,7,52,1
2024-06-22,14,0,1,10,9,1
2024-06-23,17,0,1,10,16,1
2024-06-24,21,0,1,3,27,1
2024-06-25,19,0,1,5,46,1
2024-06-26,15,1,0,28,-17,1
2024-06-27,21,0,1,4,28,1
2024-06-28,17,1,0,25,-20,0
2024-06-29,17,0,1,4,55,1
2024-06-30,15,0,1,7,45,1
2024-07-01,14,0,1,7,40,1
2024-07-02,22,0,1,6,26,1
2024-07-03,22,0,1,2,37,1
2024-07-04,14,0,1,7,48,1
2024-07-05,15,0,1,6,39,1
2024-07-06,21,0,1,9,40,1
2024-07-07,18,0,1,6,43,1
2024-07-08,23,0,1,4,27,1
2024-07-09,18,0,1,4,55,1
2024-07-10,17,1,0,22,-9,1
2024-07-11,16,1,0,24,-6,0
2024-07-12,13,1,0,25,-15,1
2024-07-13,20,1,0,18,-19,1
2024-07-14,19,1,0,22,-25,1
2024-07-15,20,0,1,5,42,1
2024-07-16,17,0,1,7,35,1
2024-07-17,14,0,1,4,47,1
2024-07-18,17,0,1,6,55,1
2024-07-19,14,0,1,2,46,1
2024-07-20,19,0,1,7,38,1
2024-07-21,23,1,0,19,-25,0
2024-07-22,23,0,1,2,30,1
2024-07-23,14,0,1,4,47,1
2024-07-24,23,0,1,8,35,1
2024-07-25,19,1,0,17,-16,0
2024-07-26,21,0,1,6,26,1
2024-07-27,23,1,0,18,-29,0
2024-07-28,13,0,1,2,44,1
2024-07-29,19,0,1,3,43,1
2024-07-30,22,0,1,4,28,1
2024-07-31,15,0,1,2,49,1
2024-08-01,15,0,1,7,48,1
2024-08-02,18,0,1,3,41,1
2024-08-03,14,0,1,5,41,1
2024-08-04,20,0,1,5,44,1
2024-08-05,18,0,1,8,43,1
2024-08-06,17,1,0,19,-7,1
2024-08-07,16,0,1,6,44,1
2024-08-08,15,0,1,6,44,1
2024-08-09,16,0,1,2,52,1
2024-08-10,20,0,1,5,32,1
2024-08-11,15,1,0,24,-12,1
2024-08-12,21,1,0,19,-28,0
2024-08-13,13,0,1,6,46,1
2024-08-14,18,0,1,6,40,1
2024-08-15,23,1,0,24,-35,1
2024-08-16,20,0,1,6,58,1
2024-08-17,13,0,1,7,37,1
2024-08-18,18,0,1,0,38,1
2024-08-19,22,0,1,6,37,1
2024-08-20,16,1,0,26,-14,1
2024-08-21,21,0,1,4,25,1
2024-08-22,21,0,1,6,31,1
2024-08-23,20,0,1,2,48,1
2024-08-24,18,0,1,3,36,1
2024-08-25,23,0,1,7,37,1
2024-08-26,14,1,0,19,-19,0
2024-08-27,17,0,1,4,45,1
2024-08-28,13,0,1,1,44,1
2024-08-29,19,0,1,3,41,1
2024-08-30,23,1,0,24,-27,0
2024-08-31,13,0,1,5,55,1
2024-09-01,11,1,0,23,-12,1
2024-09-02,13,0,1,6,48,1
2024-09-03,19,0,1,8,44,1
2024-09-04,14,0,1,5,43,1
2024-09-05,13,0,1,3,46,1
2024-09-06,12,0,1,4,37,1
2024-09-07,12,0,1,7,47,1
2024-09-08,19,0,1,7,46,1
2024-09-09,10,0,1,18,-24,1
2024-09-10,11,0,1,9,36,1
2024-09-11,19,1,0,27,-17,0
2024-09-12,17,1,0,23,-22,1
2024-09-13,10,0,1,18,-16,0
2024-09-14,11,0,1,7,37,1
2024-09-15,14,0,1,8,45,1
2024-09-16,18,0,1,7,43,1
2024-09-17,13,1,0,24,-12,0
2024-09-18,19,0,1,5,58,1
2024-09-19,12,1,0,24,-10,0
2024-09-20,13,0,1,9,48,1
2024-09-21,15,0,1,4,44,1
2024-09-22,17,0,1,8,41,1
2024-09-23,13,0,1,2,39,1
2024-09-24,16,0,1,7,40,1
2024-09-25,17,0,1,5,38,1
2024-09-26,11,0,1,4,51,1
2024-09-27,19,1,0,24,-5,0
2024-09-28,13,0,1,3,40,1
2024-09-29,16,0,1,8,51,1
2024-09-30,16,0,1,6,41,1
2024-10-01,11,0,1,6,46,1
2024-10-02,9,0,1,14,-11,0
2024-10-03,7,1,0,35,-50,0
2024-10-04,12,0,1,3,41,1
2024-10-05,10,1,0,40,-43,0
2024-10-06,11,0,1,5,49,1
2024-10-07,10,0,1,11,-13,0
2024-10-08,12,0,1,7,45,1
2024-10-09,13,1,0,20,-15,1
2024-10-10,7,1,0,31,-48,0
2024-10-11,12,0,1,0,37,1
2024-10-12,12,0,1,7,47,1
2024-10-13,10,0,1,16,-18,0
2024-10-14,11,0,1,2,36,1
2024-10-15,14,0,1,2,40,1
2024-10-16,7,0,1,13,-21,0
2024-10-17,11,0,1,3,49,1
2024-10-18,10,1,0,33,-40,0
2024-10-19,10,1,0,32,-46,0
2024-10-20,11,0,1,5,46,1
2024-10-21,11,0,1,3,43,1
2024-10-22,11,0,1,9,50,1
2024-10-23,8,0,1,18,-25,1
2024-10-24,13,0,1,5,50,1
2024-10-25,9,1,0,36,-43,0
2024-10-26,7,0,1,12,-12,0
2024-10-27,12,0,1,4,40,1
2024-10-28,11,0,1,8,50,1
2024-10-29,9,0,1,13,-15,1
2024-10-30,14,1,0,23,-18,1
2024-10-31,14,0,1,7,46,1
2024-11-01,7,1,0,40,-52,0
2024-11-02,3,0,1,13,-16,1
2024-11-03,7,0,1,19,-13,0
2024-11-04,4,0,1,14,-15,1
2024-11-05,7,1,0,29,-51,0
2024-11-06,4,0,1,18,-16,1
2024-11-07,5,0,1,12,-19,0
2024-11-08,7,0,1,18,-14,1
2024-11-09,7,1,0,30,-42,0
2024-11-10,5,0,1,15,-22,0
2024-11-11,4,0,1,18,-16,0
2024-11-12,4,0,1,11,-17,0
2024-11-13,7,0,1,14,-18,0
2024-11-14,8,0,1,10,-23,1
2024-11-15,6,1,0,31,-51,0
2024-11-16,8,0,1,12,-18,0
2024-11-17,4,0,1,14,-26,1
2024-11-18,7,1,0,26,-46,0
2024-11-19,3,0,1,11,-16,0
2024-11-20,6,1,0,37,-39,1
2024-11-21,4,0,1,14,-10,0
2024-11-22,9,1,0,34,-45,0
2024-11-23,4,0,1,19,-12,0
2024-11-24,3,1,0,35,-47,0
2024-11-25,6,0,1,12,-14,0
2024-11-26,4,0,1,14,-1,0
2024-11-27,6,0,1,13,-17,0
2024-11-28,6,0,1,16,-14,1
2024-11-29,7,1,0,33,-46,0
2024-11-30,7,0,1,19,-10,1
2024-12-01,2,1,0,36,-44,0
2024-12-02,5,1,0,37,-54,0
2024-12-03,5,1,0,34,-50,0
2024-12-04,3,0,1,15,-16,0
2024-12-05,4,0,1,17,-18,0
2024-12-06,2,0,1,18,-6,1
2024-12-07,1,1,0,30,-41,0
2024-12-08,1,1,0,33,-40,0
2024-12-09,4,0,1,15,-2,1
2024-12-10,4,0,1,19,-25,1
2024-12-11,3,0,1,16,-11,1
2024-12-12,3,1,0,38,-50,0
2024-12-13,3,0,1,16,-11,0
2024-12-14,1,0,1,14,-14,0
2024-12-15,5,0,1,12,-17,0
2024-12-16,5,0,1,11,-23,0
2024-12-17,1,0,1,18,-10,1
2024-12-18,2,0,1,16,-24,1
2024-12-19,5,0,1,14,-17,0
2024-12-20,2,0,1,13,-20,0
2024-12-21,2,0,1,16,-13,1
2024-12-22,5,0,1,16,-20,1
2024-12-23,2,1,0,34,-37,1
2024-12-24,4,1,0,37,-38,0
2024-12-25,1,0,1,11,-16,1
2024-12-26,1,0,1,18,-10,0
2024-12-27,4,1,0,32,-46,0
2024-12-28,1,0,1,11,-18,0
2024-12-29,3,0,1,10,-15,1
2024-12-30,5,1,0,37,-46,0
2024-12-31,1,1,0,31,-58,0
2025-01-01,0,0,1,13,-19,0
2025-01-02,3,0,1,11,-20,1
2025-01-03,4,0,1,20,-2,1
2025-01-04,1,0,1,16,-11,1
2025-01-05,2,0,1,19,-2,0
2025-01-06,3,0,1,12,-29,1
2025-01-07,2,0,1,17,-12,1
2025-01-08,3,0,1,14,-16,1
2025-01-09,0,1,0,36,-47,0
2025-01-10,1,0,1,17,-5,0
2025-01-11,4,0,1,17,-1,1
2025-01-12,0,1,0,38,-40,0
2025-01-13,3,0,1,15,-11,0
2025-01-14,3,0,1,11,-10,1
2025-01-15,1,0,1,16,-24,0
2025-01-16,3,0,1,13,-26,1
2025-01-17,0,0,1,18,-16,0
2025-01-18,2,0,1,15,-16,1
2025-01-19,3,0,1,12,-18,0
2025-01-20,4,1,0,35,-52,0
2025-01-21,2,0,1,19,-11,1
2025-01-22,4,0,1,15,-17,0
2025-01-23,4,0,1,16,-11,0
2025-01-24,4,0,1,18,-10,0
2025-01-25,1,1,0,34,-41,0
2025-01-26,1,0,1,12,-14,1
2025-01-27,0,1,0,37,-44,0
2025-01-28,1,0,1,14,-18,0
2025-01-29,4,0,1,16,-20,1
2025-01-30,1,0,1,20,-19,1
2025-01-31,1,0,1,20,-18,1
2025-02-01,5,0,1,15,-20,1
2025-02-02,6,0,1,15,-20,0
2025-02-03,3,0,1,17,-4,1
2025-02-04,0,0,1,13,-20,1
2025-02-05,6,1,0,36,-48,0
2025-02-06,6,0,1,15,-12,0
2025-02-07,2,0,1,14,-20,1
2025-02-08,6,0,1,16,-12,1
2025-02-09,4,0,1,11,-17,0
2025-02-10,2,0,1,11,-8,1
2025-02-11,1,0,1,11,-17,1
2025-02-12,2,0,1,17,-13,1
2025-02-13,0,1,0,29,-52,0
2025-02-14,2,0,1,14,-19,0
2025-02-15,6,0,1,14,-17,0
2025-02-16,3,0,1,15,-9,1
2025-02-17,0,0,1,14,-11,0
2025-02-18,0,0,1,16,-13,1
2025-02-19,0,0,1,14,-15,0
2025-02-20,2,0,1,19,-18,0
2025-02-21,3,0,1,12,-14,1
2025-02-22,3,1,0,28,-41,0
2025-02-23,5,0,1,15,-4,1
2025-02-24,2,0,1,14,-14,0
2025-02-25,5,0,1,15,-10,0
2025-02-26,6,0,1,15,-22,1
2025-02-27,0,0,1,15,-10,1
2025-02-28,4,1,0,25,-48,0
