date,temperature,rain,sunlight,wind,mood,walk
2024-03-12,3,0,1,13,-18,0
2024-03-13,10,0,1,11,-13,0
2024-03-14,10,1,0,38,-44,0
2024-03-15,2,1,0,36,-44,0
2024-03-16,4,0,1,11,-12,0
2024-03-17,8,0,1,19,-20,1
2024-03-18,3,1,0,30,-46,0
2024-03-19,9,0,1,16,-18,0
2024-03-20,10,0,1,16,-6,1
2024-03-21,6,1,0,38,-46,0
2024-03-22,8,0,1,14,-12,0
2024-03-23,10,0,1,14,-12,0
2024-03-24,10,0,1,14,-8,0
2024-03-25,8,1,0,36,-42,0
2024-03-26,6,0,1,14,-11,0
2024-03-27,7,0,1,16,-10,1
2024-03-28,4,0,1,16,-25,0
2024-03-29,7,0,1,12,-10,1
2024-03-30,3,0,1,14,-11,0
2024-03-31,3,0,1,15,-20,1
2024-04-01,11,0,1,6,55,1
2024-04-02,11,0,1,5,44,1
2024-04-03,9,0,1,12,-23,1
2024-04-04,7,0,1,19,-8,1
2024-04-05,10,0,1,15,-14,0
2024-04-06,8,0,1,20,-3,1
2024-04-07,7,0,1,14,-17,0
2024-04-08,8,0,1,16,-16,0
2024-04-09,10,0,1,15,-12,1
2024-04-10,7,0,1,13,-22,1
2024-04-11,4,1,0,39,-44,0
2024-04-12,14,0,1,0,48,1
2024-04-13,12,1,0,23,-22,0
2024-04-14,11,0,1,0,50,1
2024-04-15,5,1,0,32,-39,0
2024-04-16,11,0,1,5,52,1
2024-04-17,4,0,1,13,-14,1
2024-04-18,14,0,1,8,45,1
2024-04-19,13,0,1,5,49,1
2024-04-20,5,0,1,14,-8,0
2024-04-21,12,1,0,19,-13,1
2024-04-22,9,1,0,35,-38,1
2024-04-23,10,1,0,28,-52,0
2024-04-24,10,0,1,17,-16,1
2024-04-25,13,0,1,3,40,1
2024-04-26,7,0,1,15,-11,0
2024-04-27,12,0,1,2,44,1
2024-04-28,11,1,0,26,-19,1
2024-04-29,6,1,0,27,-41,0
2024-04-30,9,0,1,16,-18,0
2024-05-01,14,0,1,3,44,1
2024-05-02,15,1,0,25,-15,1
2024-05-03,17,1,0,22,-16,0
2024-05-04,17,0,1,1,48,1
2024-05-05,14,0,1,1,41,1
2024-05-06,15,1,0,20,-20,0
2024-05-07,17,1,0,20,-20,0
2024-05-08,13,0,1,0,40,1
2024-05-09,9,0,1,17,-12,1
2024-05-10,17,0,1,5,47,1
2024-05-11,12,0,1,7,33,1
2024-05-12,13,1,0,24,-25,0
2024-05-13,10,0,1,15,-8,1
2024-05-14,16,0,1,10,17,1
2024-05-15,16,0,1,2,47,1
2024-05-16,12,0,1,2,48,1
2024-05-17,9,0,1,15,-16,1
2024-05-18,15,0,1,9,38,1
2024-05-19,11,1,0,17,-16,0
2024-05-20,14,0,1,8,44,1
2024-05-21,17,0,1,8,38,1
2024-05-22,12,0,1,5,47,1
2024-05-23,17,0,1,8,45,1
2024-05-24,12,1,0,24,-22,1
2024-05-25,16,0,1,7,40,1
2024-05-26,16,0,1,0,40,1
2024-05-27,15,0,1,5,44,1
2024-05-28,9,1,0,39,-40,0
2024-05-29,16,1,0,19,-21,1
2024-05-30,11,0,1,5,51,1
2024-05-31,10,0,1,14,-18,1
2024-06-01,19,1,0,22,-10,0
2024-06-02,13,0,1,5,42,1
2024-06-03,20,1,0,21,-13,1
2024-06-04,19,0,1,4,48,1
2024-06-05,21,0,1,5,30,1
2024-06-06,11,0,1,1,45,1
2024-06-07,20,1,0,22,-18,1
2024-06-08,15,0,1,6,49,1
2024-06-09,21,0,1,9,22,1
2024-06-10,16,0,1,10,14,1
2024-06-11,20,0,1,5,46,1
2024-06-12,20,0,1,7,46,1
2024-06-13,15,0,1,4,52,1
2024-06-14,15,0,1,5,48,1
2024-06-15,19,0,1,8,46,1
2024-06-16,17,1,0,17,-7,0
2024-06-17,16,1,0,20,-16,0
2024-06-18,20,1,0,22,-11,1
2024-06-19,11,0,1,7,43,1
2024-06-20,18,1,0,21,-23,0
2024-06-21,12,0,1,5,46,1
2024-06-22,14,0,1,5,43,1
2024-06-23,13,0,1,7,44,1
2024-06-24,17,0,1,3,50,1
2024-06-25,14,0,1,6,49,1
2024-06-26,19,1,0,18,-20,0
2024-06-27,12,1,0,15,-15,0
2024-06-28,20,0,1,9,51,1
2024-06-29,13,0,1,3,52,1
2024-06-30,20,0,1,7,39,1
2024-07-01,15,0,1,5,43,1
2024-07-02,21,1,0,17,-21,1
2024-07-03,22,1,0,27,-26,0
2024-07-04,20,0,1,4,50,1
2024-07-05,15,0,1,10,23,1
2024-07-06,13,1,0,20,-18,0
2024-07-07,19,0,1,5,44,1
2024-07-08,15,0,1,7,39,1
2024-07-09,22,0,1,6,33,1
2024-07-10,14,0,1,8,47,1
2024-07-11,15,0,1,9,51,1
2024-07-12,17,0,1,1,43,1
2024-07-13,19,0,1,6,46,1
2024-07-14,18,0,1,4,46,1
2024-07-15,13,0,1,3,46,1
2024-07-16,18,1,0,22,-13,1
2024-07-17,19,0,1,5,43,1
2024-07-18,22,0,1,3,21,1
2024-07-19,18,1,0,20,-12,0
2024-07-20,21,1,0,17,-38,0
2024-07-21,21,1,0,24,-25,1
2024-07-22,23,0,1,5,36,1
2024-07-23,21,0,1,9,36,1
2024-07-24,20,0,1,5,49,1
2024-07-25,17,0,1,5,54,1
2024-07-26,17,0,1,5,38,1
2024-07-27,17,1,0,20,-7,0
2024-07-28,20,0,1,4,49,1
2024-07-29,17,0,1,5,45,1
2024-07-30,14,0,1,2,41,1
2024-07-31,17,0,1,4,45,1
2024-08-01,21,1,0,22,-24,1
2024-08-02,20,1,0,21,-23,0
2024-08-03,17,0,1,5,48,1
2024-08-04,16,0,1,10,14,1
2024-08-05,15,0,1,3,50,1
2024-08-06,15,0,1,3,46,1
2024-08-07,13,0,1,4,44,1
2024-08-08,14,0,1,4,47,1
2024-08-09,21,1,0,24,-21,0
2024-08-10,15,1,0,27,-20,0
2024-08-11,15,0,1,1,45,1
2024-08-12,17,0,1,3,47,1
2024-08-13,13,0,1,6,50,1
2024-08-14,23,0,1,2,26,1
2024-08-15,19,0,1,6,45,1
2024-08-16,15,0,1,4,40,1
2024-08-17,19,0,1,6,35,1
2024-08-18,15,0,1,7,46,1
2024-08-19,18,0,1,5,44,1
2024-08-20,23,0,1,4,32,1
2024-08-21,13,0,1,3,35,1
2024-08-22,23,0,1,1,18,1
2024-08-23,13,0,1,7,48,1
2024-08-24,19,0,1,8,38,1
2024-08-25,13,0,1,2,35,1
2024-08-26,17,1,0,16,-10,0
2024-08-27,21,0,1,5,36,1
2024-08-28,15,1,0,24,-14,1
2024-08-29,15,0,1,3,37,1
2024-08-30,13,1,0,21,-8,0
2024-08-31,18,0,1,8,55,1
2024-09-01,16,0,1,8,52,1
2024-09-02,14,0,1,3,48,1
2024-09-03,13,0,1,7,50,1
2024-09-04,19,0,1,5,44,1
2024-09-05,17,0,1,7,47,1
2024-09-06,14,0,1,6,55,1
2024-09-07,10,0,1,13,-3,1
2024-09-08,16,0,1,4,43,1
2024-09-09,14,0,1,5,54,1
2024-09-10,12,1,0,28,-13,0
2024-09-11,19,1,0,20,-9,0
2024-09-12,13,0,1,5,39,1
2024-09-13,19,0,1,8,49,1
2024-09-14,18,1,0,18,-21,1
2024-09-15,11,0,1,5,54,1
2024-09-16,13,0,1,4,41,1
2024-09-17,12,0,1,3,52,1
2024-09-18,16,0,1,0,35,1
2024-09-19,18,0,1,4,47,1
2024-09-20,17,1,0,20,-11,0
2024-09-21,16,0,1,6,37,1
2024-09-22,13,0,1,4,43,1
2024-09-23,17,0,1,6,42,1
2024-09-24,19,1,0,24,-25,0
2024-09-25,12,0,1,3,49,1
2024-09-26,16,0,1,3,41,1
2024-09-27,11,0,1,1,47,1
2024-09-28,15,0,1,4,48,1
2024-09-29,11,1,0,21,-16,0
2024-09-30,15,0,1,3,46,1
2024-10-01,12,0,1,4,54,1
2024-10-02,7,0,1,18,-18,1
2024-10-03,10,0,1,20,-12,1
2024-10-04,11,0,1,8,50,1
2024-10-05,12,0,1,5,44,1
2024-10-06,14,1,0,25,-18,0
2024-10-07,10,0,1,10,-15,0
2024-10-08,9,0,1,13,-14,1
2024-10-09,14,0,1,0,49,1
2024-10-10,11,0,1,3,47,1
2024-10-11,13,0,1,4,55,1
2024-10-12,14,1,0,23,-16,0
2024-10-13,7,0,1,14,-16,0
2024-10-14,8,1,0,38,-44,0
2024-10-15,14,0,1,8,42,1
2024-10-16,7,0,1,15,-14,1
2024-10-17,11,1,0,21,-13,1
2024-10-18,8,0,1,11,-22,0
2024-10-19,14,0,1,5,45,1
2024-10-20,11,0,1,9,43,1
2024-10-21,13,1,0,28,-9,0
2024-10-22,10,0,1,14,-11,1
2024-10-23,9,0,1,17,-11,1
2024-10-24,7,0,1,13,-18,1
2024-10-25,10,0,1,20,-19,0
2024-10-26,14,0,1,3,50,1
2024-10-27,7,1,0,30,-43,0
2024-10-28,10,1,0,28,-53,0
2024-10-29,13,0,1,6,39,1
2024-10-30,12,0,1,1,52,1
2024-10-31,8,1,0,34,-34,1
2024-11-01,7,0,1,14,-10,0
2024-11-02,8,0,1,12,-26,0
2024-11-03,9,1,0,32,-43,0
2024-11-04,4,0,1,17,-10,1
2024-11-05,9,0,1,17,-12,0
2024-11-06,3,0,1,14,-18,1
2024-11-07,6,1,0,33,-48,0
2024-11-08,9,0,1,12,-13,0
2024-11-09,8,0,1,17,-14,1
2024-11-10,4,0,1,15,-12,0
2024-11-11,3,1,0,31,-43,0
2024-11-12,4,0,1,18,-24,1
2024-11-13,7,1,0,37,-47,0
2024-11-14,8,0,1,16,-25,0
2024-11-15,7,0,1,12,-9,0
2024-11-16,5,1,0,34,-38,1
2024-11-17,6,1,0,29,-50,0
2024-11-18,5,1,0,33,-44,0
2024-11-19,4,0,1,15,-15,0
2024-11-20,8,0,1,16,-11,0
2024-11-21,7,1,0,32,-41,0
2024-11-22,5,0,1,16,-17,0
2024-11-23,9,0,1,17,-15,0
2024-11-24,7,0,1,20,-14,1
2024-11-25,5,0,1,17,-22,0
2024-11-26,8,0,1,13,-21,0
2024-11-27,5,0,1,15,-12,0
2024-11-28,5,0,1,14,-12,1
2024-11-29,7,0,1,20,-23,0
2024-11-30,7,1,0,28,-46,0
2024-12-01,5,0,1,16,-15,1
2024-12-02,4,1,0,39,-48,0
2024-12-03,2,0,1,13,-18,1
2024-12-04,3,1,0,38,-44,0
2024-12-05,5,1,0,28,-51,0
2024-12-06,2,1,0,39,-49,0
2024-12-07,3,1,0,31,-53,0
2024-12-08,5,0,1,16,-11,0
2024-12-09,5,0,1,13,-19,1
2024-12-10,3,0,1,16,-6,0
2024-12-11,2,0,1,10,-27,1
2024-12-12,5,0,1,14,-16,0
2024-12-13,3,1,0,34,-46,0
2024-12-14,4,0,1,13,-17,0
2024-12-15,2,0,1,15,-21,1
2024-12-16,4,0,1,19,-14,0
2024-12-17,1,0,1,15,-22,1
2024-12-18,2,0,1,14,-20,1
2024-12-19,1,1,0,30,-46,0
2024-12-20,1,0,1,15,-20,0
2024-12-21,1,0,1,18,-12,0
2024-12-22,1,0,1,13,-23,1
2024-12-23,4,0,1,13,-14,1
2024-12-24,2,0,1,16,-19,0
2024-12-25,3,1,0,38,-39,1
2024-12-26,2,1,0,36,-41,0
2024-12-27,1,0,1,15,-16,0
2024-12-28,4,1,0,25,-43,0
2024-12-29,2,1,0,28,-45,0
2024-12-30,3,0,1,14,-11,0
2024-12-31,3,0,1,14,-13,1
2025-01-01,1,1,0,37,-44,0
2025-01-02,3,0,1,17,-12,1
2025-01-03,2,0,1,16,-25,1
2025-01-04,4,0,1,16,-19,0
2025-01-05,4,1,0,34,-42,0
2025-01-06,0,0,1,16,-11,0
2025-01-07,3,0,1,14,-7,0
2025-01-08,3,0,1,15,-16,1
2025-01-09,4,0,1,17,-18,0
2025-01-10,4,1,0,33,-55,0
2025-01-11,2,0,1,16,-9,0
2025-01-12,2,1,0,28,-44,0
2025-01-13,1,0,1,20,-16,1
2025-01-14,0,0,1,17,-15,0
2025-01-15,0,0,1,13,-26,1
2025-01-16,2,0,1,12,-14,0
2025-01-17,3,0,1,18,-23,0
2025-01-18,4,0,1,14,-10,1
2025-01-19,0,0,1,15,-7,0
2025-01-20,1,0,1,15,-17,0
2025-01-21,2,0,1,18,-9,0
2025-01-22,0,1,0,33,-42,0
2025-01-23,3,0,1,17,-23,1
2025-01-24,3,0,1,13,-12,0
2025-01-25,0,0,1,13,-11,1
2025-01-26,2,0,1,16,-16,0
2025-01-27,4,0,1,19,-21,0
2025-01-28,4,0,1,12,-16,1
2025-01-29,2,0,1,18,-8,1
2025-01-30,3,0,1,19,-14,0
2025-01-31,4,0,1,12,-13,1
2025-02-01,1,1,0,32,-49,0
2025-02-02,4,0,1,20,-22,0
2025-02-03,5,1,0,28,-37,0
2025-02-04,2,0,1,15,-16,0
2025-02-05,2,0,1,13,-13,1
2025-02-06,1,0,1,15,-11,0
2025-02-07,2,0,1,12,-19,1
2025-02-08,1,0,1,19,-19,0
2025-02-09,2,1,0,32,-50,0
2025-02-10,6,0,1,20,-27,0
2025-02-11,0,1,0,26,-57,0
2025-02-12,4,1,0,28,-56,0
2025-02-13,3,0,1,14,-10,0
2025-02-14,6,0,1,16,-20,0
2025-02-15,5,0,1,17,-13,0
2025-02-16,2,0,1,13,-28,1
2025-02-17,6,0,1,18,-13,1
2025-02-18,2,0,1,17,-15,1
2025-02-19,4,0,1,13,-16,0
2025-02-20,0,0,1,20,-30,0
2025-02-21,0,0,1,15,-10,1
2025-02-22,4,0,1,13,-10,1
2025-02-23,4,0,1,14,-22,1
2025-02-24,6,0,1,12,-10,1
2025-02-25,3,0,1,11,-15,0
2025-02-26,2,0,1,14,-13,1
2025-02-27,4,0,1,15,-10,1
2025-02-28,3,0,1,16,-18,1
